held_out,strategy,mean_arcface,scores,nearest,nearest_sim
Brad Pitt,all_positions,0.2792142450809479,"[0.23609822988510132, 0.32424455881118774, 0.29605820775032043, 0.23902606964111328, 0.3006441593170166]",Harry Styles,0.3905755877494812
Brad Pitt,name_tokens_only,0.2802611768245697,"[0.19841060042381287, 0.31182026863098145, 0.3210453391075134, 0.257372111082077, 0.31265756487846375]",Harry Styles,0.3905755877494812
Brad Pitt,high_identity_only,0.40681079030036926,"[0.4099237322807312, 0.4216773509979248, 0.43252065777778625, 0.3407115936279297, 0.42922061681747437]",Harry Styles,0.3905755877494812
Tom Hanks,all_positions,0.2737075865268707,"[0.28239476680755615, 0.26889052987098694, 0.33311474323272705, 0.24667629599571228, 0.23746159672737122]",Anthony Hopkins,0.3316795825958252
Tom Hanks,name_tokens_only,0.27482028901576994,"[0.28515133261680603, 0.2753779888153076, 0.35309600830078125, 0.23949433863162994, 0.22098177671432495]",Anthony Hopkins,0.3316795825958252
Tom Hanks,high_identity_only,0.3349588692188263,"[0.26156437397003174, 0.38735735416412354, 0.3345802128314972, 0.3607333302497864, 0.3305590748786926]",Anthony Hopkins,0.3316795825958252
Denzel Washington,all_positions,0.393862384557724,"[0.4288918972015381, 0.3912513852119446, 0.3705354928970337, 0.4120038151741028, 0.36662933230400085]",Dave Chappelle,0.5417141318321228
Denzel Washington,name_tokens_only,0.4342931926250458,"[0.4060786962509155, 0.4687245786190033, 0.4640559256076813, 0.38535425066947937, 0.4472525119781494]",Dave Chappelle,0.5417141318321228
Denzel Washington,high_identity_only,0.44912418723106384,"[0.4190979301929474, 0.5210361480712891, 0.460986465215683, 0.3765849769115448, 0.467915415763855]",Dave Chappelle,0.5417141318321228
Leonardo DiCaprio,all_positions,0.2963728219270706,"[0.30338054895401, 0.24926334619522095, 0.35730165243148804, 0.3279736042022705, 0.2439449578523636]",Harry Styles,0.3428683876991272
Leonardo DiCaprio,name_tokens_only,0.3895442306995392,"[0.4146914482116699, 0.3463796079158783, 0.33548665046691895, 0.42106014490127563, 0.4301033020019531]",Harry Styles,0.3428683876991272
Leonardo DiCaprio,high_identity_only,0.3614447832107544,"[0.3974752128124237, 0.3874213397502899, 0.3677383363246918, 0.3044620454311371, 0.3501269817352295]",Harry Styles,0.3428683876991272
Morgan Freeman,all_positions,0.22875860929489136,"[0.22355404496192932, 0.26895028352737427, 0.19702109694480896, 0.2685510516166687, 0.18571656942367554]",Jay Z,0.3659365177154541
Morgan Freeman,name_tokens_only,0.2139975368976593,"[0.2194802314043045, 0.13454800844192505, 0.22108320891857147, 0.2283000648021698, 0.2665761709213257]",Jay Z,0.3659365177154541
Morgan Freeman,high_identity_only,0.22724167704582215,"[0.20376190543174744, 0.1685543656349182, 0.2260982096195221, 0.27886512875556946, 0.2589287757873535]",Jay Z,0.3659365177154541
Keanu Reeves,all_positions,0.2951322615146637,"[0.3296508491039276, 0.35771894454956055, 0.2660873532295227, 0.2975897789001465, 0.22461438179016113]",Harrison Ford,0.26518380641937256
Keanu Reeves,name_tokens_only,0.1993100881576538,"[0.24769334495067596, 0.18723520636558533, 0.10684452950954437, 0.3023180365562439, 0.15245932340621948]",Harrison Ford,0.26518380641937256
Keanu Reeves,high_identity_only,0.21578214466571807,"[0.25614088773727417, 0.1442227065563202, 0.16393926739692688, 0.31532204151153564, 0.1992858201265335]",Harrison Ford,0.26518380641937256
Will Smith,all_positions,0.23252046704292298,"[0.2000296711921692, 0.24281615018844604, 0.2593018114566803, 0.20342910289764404, 0.2570255994796753]",Trevor Noah,0.4518674612045288
Will Smith,name_tokens_only,0.18273344337940217,"[0.14788100123405457, 0.2227788269519806, 0.1807374656200409, 0.124196857213974, 0.23807306587696075]",Trevor Noah,0.4518674612045288
Will Smith,high_identity_only,0.17555828094482423,"[0.1828683465719223, 0.1933632493019104, 0.19937542080879211, 0.0870705097913742, 0.21511387825012207]",Trevor Noah,0.4518674612045288
Robert Downey Jr,all_positions,0.372264963388443,"[0.29027605056762695, 0.397368848323822, 0.3958786725997925, 0.40670719742774963, 0.3710940480232239]",Harrison Ford,0.3910573720932007
Robert Downey Jr,name_tokens_only,0.42319110631942747,"[0.38804301619529724, 0.4218735992908478, 0.4286823570728302, 0.4596901834011078, 0.41766637563705444]",Harrison Ford,0.3910573720932007
Robert Downey Jr,high_identity_only,0.4393650829792023,"[0.3656347393989563, 0.44802531599998474, 0.4757523536682129, 0.4864201545715332, 0.4209928512573242]",Harrison Ford,0.3910573720932007
Johnny Depp,all_positions,0.25020784735679624,"[0.2382316291332245, 0.2905466854572296, 0.21969600021839142, 0.23106254637241364, 0.27150237560272217]",Bruno Mars,0.3025771379470825
Johnny Depp,name_tokens_only,0.2384520411491394,"[0.23890742659568787, 0.24853664636611938, 0.2038460373878479, 0.22542813420295715, 0.2755419611930847]",Bruno Mars,0.3025771379470825
Johnny Depp,high_identity_only,0.25235675573349,"[0.25105589628219604, 0.2660381495952606, 0.20827007293701172, 0.24653342366218567, 0.2898862361907959]",Bruno Mars,0.3025771379470825
Tom Cruise,all_positions,0.22889893054962157,"[0.3156675696372986, 0.19941934943199158, 0.22231680154800415, 0.17361600697040558, 0.23347492516040802]",Clint Eastwood,0.32456672191619873
Tom Cruise,name_tokens_only,0.2825671285390854,"[0.33257099986076355, 0.29086536169052124, 0.30613163113594055, 0.1947585493326187, 0.2885091006755829]",Clint Eastwood,0.32456672191619873
Tom Cruise,high_identity_only,0.23143284618854523,"[0.2762758731842041, 0.18930652737617493, 0.25597912073135376, 0.1778990477323532, 0.25770366191864014]",Clint Eastwood,0.32456672191619873
Samuel L Jackson,all_positions,0.391994571685791,"[0.40611347556114197, 0.43522751331329346, 0.3685399889945984, 0.3880736827850342, 0.3620181977748871]",Trevor Noah,0.6548588275909424
Samuel L Jackson,name_tokens_only,0.4728226959705353,"[0.45789635181427, 0.4945586323738098, 0.4148213863372803, 0.44594070315361023, 0.550896406173706]",Trevor Noah,0.6548588275909424
Samuel L Jackson,high_identity_only,0.4335856318473816,"[0.37136590480804443, 0.48817431926727295, 0.4238640069961548, 0.41886603832244873, 0.46565788984298706]",Trevor Noah,0.6548588275909424
