celebrity,strategy,mean_arcface,std_arcface,max_arcface,n_name_tokens
Brad Pitt,name_tokens,0.9271517872810364,0.018740725276167908,0.9482158422470093,2
Brad Pitt,high_identity,0.9151761770248413,0.023380694455979612,0.9383234977722168,2
Brad Pitt,all_tokens,0.9357797980308533,0.022369482850969426,0.95677250623703,2
Tom Hanks,name_tokens,0.052145291678607465,0.03541582947003265,0.08960239589214325,1
Tom Hanks,high_identity,0.09436657279729843,0.021811481152115727,0.1357085406780243,1
Tom Hanks,all_tokens,0.8844425678253174,0.028575525034872123,0.9221236109733582,1
Denzel Washington,name_tokens,0.4627122461795807,0.011921208724279512,0.47445380687713623,1
Denzel Washington,high_identity,0.5145571410655976,0.07664433954839799,0.6469807028770447,1
Denzel Washington,all_tokens,0.8284478425979614,0.06753137495155706,0.9042267203330994,1
Leonardo DiCaprio,name_tokens,0.7801754117012024,0.022108673823108552,0.8091585636138916,1
Leonardo DiCaprio,high_identity,0.05933467224240303,0.0366174609543245,0.09614471346139908,1
Leonardo DiCaprio,all_tokens,0.9215123295783997,0.018228327365783455,0.9385139346122742,1
Morgan Freeman,name_tokens,0.9132721662521363,0.017597741837234344,0.9362585544586182,2
Morgan Freeman,high_identity,0.8959363579750061,0.024029798175038437,0.9221360683441162,2
Morgan Freeman,all_tokens,0.904706335067749,0.03681072436295383,0.9369715452194214,2
Keanu Reeves,name_tokens,0.340920627117157,0.035559943721523594,0.40187084674835205,1
Keanu Reeves,high_identity,0.07979809790849686,0.03596008128238987,0.12472817301750183,1
Keanu Reeves,all_tokens,0.9033113718032837,0.01049826323822654,0.9167598485946655,1
Will Smith,name_tokens,0.9160806894302368,0.032891633598006335,0.9491734504699707,2
Will Smith,high_identity,0.9033743619918824,0.037462101518051676,0.9411150217056274,2
Will Smith,all_tokens,0.9253350377082825,0.03748849260395357,0.9590709209442139,2
Robert Downey Jr,name_tokens,0.2622163951396942,0.013827445158091973,0.2821096181869507,2
Robert Downey Jr,high_identity,0.24571796059608458,0.0242773273051392,0.2834857404232025,2
Robert Downey Jr,all_tokens,0.8934138059616089,0.024246686289159766,0.9188802242279053,2
Johnny Depp,name_tokens,0.10940059423446655,0.025356372986772638,0.14429150521755219,1
Johnny Depp,high_identity,0.08550138846039772,0.038766154096944394,0.1603626012802124,1
Johnny Depp,all_tokens,0.8921129703521729,0.0364830932969415,0.9296014308929443,1
Tom Cruise,name_tokens,0.8677179932594299,0.04374584798584394,0.9284566044807434,2
Tom Cruise,high_identity,0.8638716220855713,0.04077066967681273,0.9197017550468445,2
Tom Cruise,all_tokens,0.9016119599342346,0.042870116820921005,0.9419378042221069,2

