celebrity,mean_arcface,std_arcface,n_tokens_injected
Brad Pitt,0.9271517872810364,0.018740725276167908,2
Tom Hanks,0.8789799332618713,0.03453172879116728,3
Denzel Washington,0.8125795960426331,0.03517533736824537,3
Leonardo DiCaprio,0.9233040809631348,0.01039872067885455,4
Morgan Freeman,0.9132721662521363,0.017597741837234344,2
Keanu Reeves,0.8700707674026489,0.021505167537195786,4
Will Smith,0.9160806894302368,0.032891633598006335,2
Robert Downey Jr,0.8912370920181274,0.023091428773544555,4
Johnny Depp,0.8927424311637878,0.03510760090689824,3
Tom Cruise,0.8677179932594299,0.04374584798584394,2
Samuel L Jackson,0.8679854273796082,0.03363352512091834,3
Matt Damon,0.8344489812850953,0.053220114012379756,2
George Clooney,0.8663306117057801,0.037705992493777846,3
Ryan Gosling,0.8276772975921631,0.06144340319650117,3
Chris Hemsworth,0.8802636146545411,0.035092611552933306,3
Jake Gyllenhaal,0.7841012716293335,0.03349640376971603,5
Idris Elba,0.7672888994216919,0.022099656043341027,5
Benedict Cumberbatch,0.8841572523117065,0.02450866499397227,4
Oscar Isaac,0.7637205839157104,0.07248062007939667,2
Dev Patel,0.8098602175712586,0.03411208874600495,2
Scarlett Johansson,0.9214742541313171,0.02458439708073478,3
Meryl Streep,0.8284467220306396,0.035813326893164556,4
Cate Blanchett,0.8660355329513549,0.03146054280520047,4
Viola Davis,0.77492755651474,0.07382435709874191,3
Angelina Jolie,0.9068397045135498,0.014623906735737022,4
Jennifer Lawrence,0.88312748670578,0.03658352702639842,2
Natalie Portman,0.8110920667648316,0.01719054501684118,3
Lupita Nyongo,0.6965547561645508,0.06926903935247346,4
Emma Stone,0.8338456392288208,0.03953258375025711,2
Nicole Kidman,0.8688184380531311,0.02552239414065106,3
Sandra Bullock,0.800487506389618,0.052083964388124716,3
Halle Berry,0.8637844562530518,0.0539522014680983,3
Charlize Theron,0.8220303654670715,0.032499233242461754,4
Margot Robbie,0.8669366240501404,0.03305455152532052,3
Zendaya,0.8609537005424499,0.02728509917392507,2
Florence Pugh,0.8019905686378479,0.04225924313753546,3
Gal Gadot,0.8103432893753052,0.03951856541406186,3
Priyanka Chopra,0.7894207119941712,0.02032896425835051,5
Michelle Yeoh,0.8119503259658813,0.059636383217995366,3
Saoirse Ronan,0.8456618070602417,0.038472414307966926,4
Taylor Swift,0.9112033247947693,0.010922290763444323,2
Beyonce,0.9076097726821899,0.012376539252766555,2
Rihanna,0.8989374518394471,0.015479333565717223,1
Adele,0.8156311392784119,0.038580304257270014,2
Lady Gaga,0.838642418384552,0.036584532340313045,2
Drake,0.840224814414978,0.008663233997290678,1
Jay Z,0.8442195177078247,0.04117675246328215,2
Kanye West,0.9122936606407166,0.02292935874990796,2
Ed Sheeran,0.8680716276168823,0.013705708322429873,4
Bruno Mars,0.8313514590263367,0.05973697512806001,2
Billie Eilish,0.8487766027450562,0.019704063483403395,5
Ariana Grande,0.891420555114746,0.01609867109344812,3
Harry Styles,0.9032366633415222,0.021236818946727385,2
The Weeknd,0.8910369277000427,0.025705797204928615,3
Dua Lipa,0.8138388633728028,0.01792088829972722,4
LeBron James,0.9096081972122192,0.017406398507716272,2
Serena Williams,0.8730439782142639,0.03100742453100969,2
Cristiano Ronaldo,0.870949900150299,0.006041479593392168,2
Lionel Messi,0.9010358929634095,0.00704284735396372,2
Usain Bolt,0.8221211075782776,0.03408507664544201,3
Simone Biles,0.798417592048645,0.038960170201637535,3
Roger Federer,0.8174067378044129,0.03698763510497336,3
Naomi Osaka,0.8014941573143005,0.05762649494429734,2
Elon Musk,0.9256261229515076,0.012379853424506562,2
Mark Zuckerberg,0.8775517106056213,0.029571814369794006,2
Jeff Bezos,0.8563229441642761,0.04655503775313658,3
Bill Gates,0.8440517544746399,0.03558427578450562,2
Barack Obama,0.923544192314148,0.007596317157172609,2
Michelle Obama,0.8531946539878845,0.011000503666572053,2
Angela Merkel,0.8788512229919434,0.022310222692903378,2
Dave Chappelle,0.717509651184082,0.021896893045478233,4
Oprah Winfrey,0.8808947801589966,0.03606639592992006,3
Ellen DeGeneres,0.760618269443512,0.04662686449567331,4
Trevor Noah,0.7796839475631714,0.06582760764089235,2
Mindy Kaling,0.7127858877182007,0.057643317838214136,4
Awkwafina,0.6958881855010987,0.030895181538045328,4
Ke Huy Quan,0.7811187148094177,0.030313473686941754,5
Simu Liu,0.7832744956016541,0.04153967571861277,3
Clint Eastwood,0.8517432689666748,0.04001349530845938,3
Robert De Niro,0.8282249093055725,0.015245252656877985,4
Al Pacino,0.8198758125305176,0.05025017209241318,3
Jack Nicholson,0.7999560236930847,0.027024087626844592,2
Sean Connery,0.8465794444084167,0.05390460198887311,3
Harrison Ford,0.8255825519561768,0.03716649618302741,2
Anthony Hopkins,0.8293374180793762,0.05009309967666777,2
Penelope Cruz,0.8468610048294067,0.038726403199051566,3
Javier Bardem,0.7794371247291565,0.07649130139787831,3
Ken Watanabe,0.765119481086731,0.06409880079106565,4
Gong Li,0.7068329811096191,0.030548601765887713,2
Shah Rukh Khan,0.8419607162475586,0.026435028428070714,5
Deepika Padukone,0.7829419851303101,0.04999179249286642,5
Song Kang-ho,0.8166264057159424,0.044188170359823246,4
Tony Leung,0.873465609550476,0.019215098153886962,3
Riz Ahmed,0.8299176335334778,0.034651262630038406,3
Rami Malek,0.796360170841217,0.03896169878344601,4
Daniel Kaluuya,0.7988235950469971,0.03492407858855872,4
Steven Yeun,0.7902272343635559,0.07719120053999345,3
Sandra Oh,0.7526363253593444,0.027476498539372524,2
Constance Wu,0.7317667603492737,0.06572847971808148,3

