celebrity,mean_arcface,std_arcface,n_tokens_injected,positions
Brad Pitt,0.9271517872810364,0.018740725276167908,2,"[6, 7]"
Tom Hanks,0.8789799332618713,0.03453172879116728,3,"[6, 7, 8]"
Denzel Washington,0.8125795960426331,0.03517533736824537,3,"[6, 7, 8]"
Leonardo DiCaprio,0.9233040809631348,0.01039872067885455,4,"[6, 7, 8, 9]"
Morgan Freeman,0.9132721662521363,0.017597741837234344,2,"[6, 7]"
Keanu Reeves,0.8700707674026489,0.021505167537195786,4,"[6, 7, 8, 9]"
Will Smith,0.9160806894302368,0.032891633598006335,2,"[6, 7]"
Robert Downey Jr,0.8912370920181274,0.023091428773544555,4,"[6, 7, 8, 9]"
Johnny Depp,0.8927424311637878,0.03510760090689824,3,"[6, 7, 8]"
Tom Cruise,0.8677179932594299,0.04374584798584394,2,"[6, 7]"

